,Station,Station Latitude,Station Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,S Adlershof,52.435102,13.540553,Olympia Greek Food,52.43398232,13.53850004,Greek Restaurant
1,S Adlershof,52.435102,13.540553,Griechisches Restaurant Athen,52.43490141197407,13.54667973532164,Greek Restaurant
2,S Adlershof,52.435102,13.540553,Trattoria Il Mondo,52.434788,13.543176,Trattoria/Osteria
3,S Adlershof,52.435102,13.540553,Deutsche Bank Filiale,52.43634582030003,13.544170257025712,Bank
4,S Adlershof,52.435102,13.540553,azuma,52.43316917002007,13.536792849589817,Sushi Restaurant
5,S Adlershof,52.435102,13.540553,SUBWAY,52.43267539106142,13.535262941686597,Sandwich Place
6,S Adlershof,52.435102,13.540553,Cafe & Bistro Albert,52.43154257456707,13.537080625837202,Café
7,S Adlershof,52.435102,13.540553,Kaufland,52.43292829059636,13.535700418180824,Big Box Store
8,S Adlershof,52.435102,13.540553,Asia-Sushi-Bar,52.43231498671414,13.536117951884707,Asian Restaurant
9,S Ahrensfelde Bhf,52.571564,13.566118,Lidl,52.56976,13.5693981,Supermarket
10,S Ahrensfelde Bhf,52.571564,13.566118,REWE,52.56885211555411,13.568511650297182,Supermarket
11,S Ahrensfelde Bhf,52.571564,13.566118,Bahnhof Ahrensfelde,52.571342327367596,13.565282821655273,Train Station
12,S Ahrensfelde Bhf,52.571564,13.566118,Agip Service Station,52.57224438,13.5649645,Gas Station
13,S Ahrensfelde Bhf,52.571564,13.566118,NORMA,52.56751525184296,13.563774171247351,Supermarket
14,S Altglienicke,52.407790999999996,13.559601999999998,Espressobar Zum Kalten Hund,52.40714133014793,13.558547332534934,Food Truck
15,S Altglienicke,52.407790999999996,13.559601999999998,S Altglienicke,52.40729329065715,13.558894894473324,Light Rail Station
16,S Altglienicke,52.407790999999996,13.559601999999998,ABEX BÄR & OLLENROTH GEBÄUDETECHNIK,52.404709092445,13.559393617058,Shopping Mall
17,S Altglienicke,52.407790999999996,13.559601999999998,Thomas Philipps Sonderposten,52.404002919858414,13.559602259609306,Discount Store
18,S Alt-Reinickendorf,52.577968999999996,13.349747,Latichte,52.576094028594824,13.348752556321415,German Restaurant
19,S Alt-Reinickendorf,52.577968999999996,13.349747,Paracelsus-Bad,52.57535508734666,13.347456854839297,Pool
20,S Alt-Reinickendorf,52.577968999999996,13.349747,Bäckerei Steinicke (Fabrikverkauf),52.57765390878057,13.356328010559082,Bakery
21,S Alt-Reinickendorf,52.577968999999996,13.349747,Sportplatz Freiheitsweg,52.576467296502386,13.356456756591797,Soccer Field
22,S Anhalter Bahnhof,52.504538000000004,13.382076999999999,Martin-Gropius-Bau,52.50685743592688,13.38183045387268,Art Museum
23,S Anhalter Bahnhof,52.504538000000004,13.382076999999999,Beba,52.506871933359555,13.381672955292743,Israeli Restaurant
24,S Anhalter Bahnhof,52.504538000000004,13.382076999999999,Mövenpick Hotel Berlin,52.50380517882488,13.380369510023002,Hotel
25,S Anhalter Bahnhof,52.504538000000004,13.382076999999999,Basement Boulderstudio,52.50383381099916,13.38361144065857,Climbing Gym
26,S Anhalter Bahnhof,52.504538000000004,13.382076999999999,Topographie des Terrors,52.506883557050294,13.38360071182251,History Museum
27,S Anhalter Bahnhof,52.504538000000004,13.382076999999999,Stadtklause,52.50481359949364,13.38059805752047,Pub
28,S Anhalter Bahnhof,52.504538000000004,13.382076999999999,Baudenkmal Berliner Mauer | Berlin Wall Monument (Baudenkmal Berliner Mauer),52.50713170694858,13.384437561035156,Historic Site
29,S Anhalter Bahnhof,52.504538000000004,13.382076999999999,Tempodrom,52.50184842363405,13.381294012069702,Concert Hall
30,S Anhalter Bahnhof,52.504538000000004,13.382076999999999,Crowne Plaza Berlin Potsdamer Platz,52.5015295,13.3830256,Hotel
31,S Anhalter Bahnhof,52.504538000000004,13.382076999999999,Woop Woop Icecream,52.50458046657708,13.383112153429211,Food Truck
32,S Anhalter Bahnhof,52.504538000000004,13.382076999999999,Solar,52.50434198522735,13.383829581347038,Restaurant
33,S Anhalter Bahnhof,52.504538000000004,13.382076999999999,Berlin Story Bunker,52.50287378291028,13.3803391456604,Historic Site
34,S Anhalter Bahnhof,52.504538000000004,13.382076999999999,Liquidrom,52.50111299268382,13.381710724008686,Spa
35,S Anhalter Bahnhof,52.504538000000004,13.382076999999999,Trabi-Safari / Trabi-World,52.50762662685895,13.386632240518113,Rental Car Location
36,S Anhalter Bahnhof,52.504538000000004,13.382076999999999,Mabuhay,52.504067683860825,13.37582270945074,Indonesian Restaurant
37,S Anhalter Bahnhof,52.504538000000004,13.382076999999999,Hansa Studio,52.50626472568255,13.37698685155247,Music Venue
38,S Anhalter Bahnhof,52.504538000000004,13.382076999999999,Solar Skybar Lounge,52.50437294123316,13.383681126633618,Cocktail Bar
39,S Anhalter Bahnhof,52.504538000000004,13.382076999999999,Mama Cook,52.50297528052083,13.388150737751431,Vietnamese Restaurant
40,S Anhalter Bahnhof,52.504538000000004,13.382076999999999,relexa hotel Stuttgarter Hof,52.5049794842523,13.385151525678207,Hotel
41,S Anhalter Bahnhof,52.504538000000004,13.382076999999999,Yarok,52.50701781738316,13.385916868771202,Middle Eastern Restaurant
42,S Anhalter Bahnhof,52.504538000000004,13.382076999999999,Holmes Place,52.505223583712855,13.376115347663054,Gym / Fitness Center
43,S Anhalter Bahnhof,52.504538000000004,13.382076999999999,Steakhaus Asador,52.503518645755335,13.387594842287493,Argentinian Restaurant
44,S Anhalter Bahnhof,52.504538000000004,13.382076999999999,Fressnapf,52.5031111,13.3844918,Pet Store
